
 item_id | time                            | item_dsc                 | value
---------+---------------------------------+--------------------------+---------
    8001 | 2020-03-18 08:23:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 08:18:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 08:13:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 08:08:21.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 08:03:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 07:58:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 07:53:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 07:48:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 07:43:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 07:38:20.000000+0000 | Barometric pressure (mb) | 1007.00
    8001 | 2020-03-18 07:33:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-18 07:28:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-18 07:23:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-18 07:18:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-18 07:13:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-18 07:08:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-18 07:03:20.000000+0000 | Barometric pressure (mb) | 1008.00
    8001 | 2020-03-18 06:58:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:53:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:48:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:43:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:38:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:33:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:28:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:23:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:18:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:13:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:08:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 06:03:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 05:58:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-18 05:53:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-18 05:48:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-18 05:43:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-18 05:38:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-18 05:33:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-18 05:28:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-18 05:23:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-18 05:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 05:13:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-18 05:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 05:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:38:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:28:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 04:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 03:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 03:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 03:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 03:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 03:38:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-18 03:33:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-18 03:28:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 03:23:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-18 03:18:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 03:13:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 03:08:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 03:03:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 02:58:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 02:53:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 02:48:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 02:43:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 02:38:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 02:33:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-18 02:28:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-18 02:23:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-18 02:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 02:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 02:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 02:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:38:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:28:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
